CVE,Vendor,Product,Name
CVE-2021-27104,Accellion,FTA,Accellion FTA OS Command Injection Vulnerability
CVE-2021-27102,Accellion,FTA,Accellion FTA OS Command Injection Vulnerability
CVE-2021-27101,Accellion,FTA,Accellion FTA SQL Injection Vulnerability
CVE-2021-27103,Accellion,FTA,Accellion FTA SSRF Vulnerability
CVE-2021-21017,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-based Buffer Overflow Vulnerability
CVE-2021-28550,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability
CVE-2018-4939,Adobe,ColdFusion,Adobe ColdFusion Deserialization of Untrusted Data vulnerability
CVE-2018-15961,Adobe,ColdFusion,Adobe ColdFusion Remote Code Execution
CVE-2018-4878,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2020-5735,Amcrest,Cameras and Network Video Recorder (NVR),Amcrest Camera and NVR Buffer Overflow Vulnerability
CVE-2017-9805,Apache,Struts,Apache Struts Multiple Versions Remote Code Execution Vulnerability
CVE-2021-42013,Apache,HTTP Server,Apache HTTP Server 2.4.49 and 2.4.50 Path Traversal
CVE-2021-41773,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability
CVE-2019-0211,Apache,HTTP Server,Apache HTTP Server scoreboard vulnerability
CVE-2016-4437,Apache,Shiro,Apache Shiro 1.2.4 Cookie RememberME Deserial Remote Code Execution Vulnerability
CVE-2019-17558,Apache,Solr,Apache Solr 5.0.0-8.3.1 Remote Code Execution Vulnerability
CVE-2020-17530,Apache,Struts,Apache Struts Forced OGNL Double Evaluation Remote Code Execution
CVE-2017-5638,Apache,Struts,Apache Struts Jakarta Multipart parser exception handling vulnerability
CVE-2018-11776,Apache,Struts,Apache Struts 2.3 to 2.3.34 and 2.5 to 2.5.16 Remote Code Execution Vulnerability
CVE-2019-6223,Apple,FaceTime,Apple FaceTime Vulnerability
CVE-2021-30665,Apple,Safari,Apple Safari Webkit Browser Engine Buffer Overflow Vulnerability
CVE-2021-30663,Apple,Safari,Apple Safari Webkit Browser Engine Integer Overflow Vulnerability
CVE-2021-20090,Arcadyan,Buffalo WSR-2533DHPL2 and WSR-2533DHP3 firmware,Arcadyan Buffalo Firmware Multiple Versions Path Traversal
CVE-2021-27562,Arm,Arm Trusted Firmware,Arm Trusted Firmware M through 1.2 Denial-of-Service
CVE-2021-28664,Arm,Mali Graphics Processing Unit (GPU),Arm Mali GPU Kernel Boundary Error Vulnerability
CVE-2021-28663,Arm,Mali Graphics Processing Unit (GPU),Arm Mali GPU Kernel Use-After-Free Vulnerability
CVE-2019-3398,Atlassian,Confluence,Atlassian Confluence Path Traversal Vulnerability
CVE-2021-26084,Atlassian,Confluence Server,Atlassian Confluence Server < 6.13.23, 6.14.0 - 7.12.5 Arbitrary Code Execution
CVE-2019-11580,Atlassian,Crowd and Crowd Data Center,Atlassian Crowd and Crowd Data Center Remote Code Execution Vulnerability
CVE-2019-3396,Atlassian,Atlassian Confluence Server,Remote code execution via Widget Connector macro Vulnerability
CVE-2021-42258,BQE,BillQuick Web Suite,BQE BillQuick Web Suite Versions Prior to 22.0.9.1 (from 2018 through 2021) Remote Code Execution Vulnerability
CVE-2019-13608,Citrix,StoreFront Server,Citrix StoreFront Server Multiple Versions XML External Entity (XXE)
CVE-2020-8193,Citrix,Application Delivery Controller (ADC), Gateway, and SDWAN WANOP,Citrix ADC, Citrix Gateway, Citrix SDWAN WANOP Unauthenticated Authorization Bypass
CVE-2020-8195,Citrix,Application Delivery Controller (ADC), Gateway, and SDWAN WANOP,Citrix ADC, Citrix Gateway, Citrix SDWAN WANOP Unauthenticated Authorization Bypass
CVE-2020-8196,Citrix,Application Delivery Controller (ADC), Gateway, and SDWAN WANOP,Citrix ADC, Citrix Gateway, Citrix SDWAN WANOP Unauthenticated Authorization Bypass
CVE-2019-19781,Citrix,Application Delivery Controller (ADC) and Gateway,Citrix Application Delivery Controller and Citrix Gateway Vulnerability
CVE-2019-11634,Citrix,Workspace (for Windows),Citrix Workspace (for Windows) Prior to 1904 Improper Access Control
CVE-2020-29557,D-Link,DIR-825 R1,D-Link DIR-825 R1 Through 3.0.1 Before 11/2020 Buffer Overflow
CVE-2020-25506,D-Link,DNS-320,D-Link DNS-320 Command Injection Remote Code Execution Vulnerability
CVE-2018-15811,DNN,DotNetNuke (DNN),DotNetNuke 9.2-9.2.2 Encryption Algorithm Vulnerability
CVE-2018-18325,DNN,DotNetNuke (DNN),DotNetNuke 9.2-9.2.2 Encryption Algorithm Vulnerability
CVE-2017-9822,DNN,DotNetNuke (DNN),DotNetNuke before 9.1.1 Remote Code Execution Vulnerability
CVE-2019-15752,Docker,Desktop Community Edition,Docker Desktop Community Edition Privilege Escalation Vulnerability
CVE-2020-8515,DrayTek,Vigor Router(s),DrayTek Vigor Router Vulnerability
CVE-2018-7600,Drupal,Drupal,Drupal module configuration vulnerability
CVE-2021-22205,ExifTool,ExifTool,GitLab Community and Enterprise Editions From 11.9 Remote Code Execution Vulnerability
CVE-2018-6789,Exim,Exim,Exim Buffer Overflow Vulnerability
CVE-2020-8657,EyesOfNetwork,EyesOfNetwork,EyesOfNetwork 5.3 Insufficient Credential Protection
