CVE,Vendor,Product,Name
CVE-2021-21017,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Heap-based Buffer Overflow Vulnerability
CVE-2021-28550,Adobe,Acrobat and Reader,Adobe Acrobat and Reader Use-After-Free Vulnerability
CVE-2018-4939,Adobe,ColdFusion,Adobe ColdFusion Deserialization of Untrusted Data vulnerability
CVE-2018-15961,Adobe,ColdFusion,Adobe ColdFusion Remote Code Execution
CVE-2018-4878,Adobe,Flash Player,Adobe Flash Player Use-After-Free Vulnerability
CVE-2017-9805,Apache,Struts,Apache Struts Multiple Versions Remote Code Execution Vulnerability
CVE-2021-42013,Apache,HTTP Server,Apache HTTP Server 2.4.49 and 2.4.50 Path Traversal
CVE-2021-41773,Apache,HTTP Server,Apache HTTP Server Path Traversal Vulnerability
CVE-2019-0211,Apache,HTTP Server,Apache HTTP Server scoreboard vulnerability
CVE-2016-4437,Apache,Shiro,Apache Shiro 1.2.4 Cookie RememberME Deserial Remote Code Execution Vulnerability
CVE-2019-17558,Apache,Solr,Apache Solr 5.0.0-8.3.1 Remote Code Execution Vulnerability
CVE-2020-17530,Apache,Struts,Apache Struts Forced OGNL Double Evaluation Remote Code Execution
CVE-2017-5638,Apache,Struts,Apache Struts Jakarta Multipart parser exception handling vulnerability
CVE-2018-11776,Apache,Struts,Apache Struts 2.3 to 2.3.34 and 2.5 to 2.5.16 Remote Code Execution Vulnerability
CVE-2020-16010,Google,Chrome for Android,Google Chrome for Android Heap Overflow Vulnerability
CVE-2020-15999,Google,Chrome,Google Chrome FreeType Memory Corruption
CVE-2021-21166,Google,Chrome,Google Chrome Heap Buffer Overflow in WebAudio Vulnerability
CVE-2020-16017,Google,Chrome,Google Chrome Site Isolation Component Use-After-Free Remote Code Execution vulnerability
CVE-2021-37976,Google,Chrome,Google Chrome Information Leakage
CVE-2020-16009,Google,Chromium V8 Engine,Chromium V8 Implementation Vulnerability
CVE-2021-30632,Google,Chrome,Google Chrome Out-of-bounds write
CVE-2020-16013,Google,Chromium V8 Engine,Chromium V8 Incorrect Implementation Vulnerabililty
CVE-2021-30633,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2021-21148,Google,Chromium V8 Engine,Chromium V8 JavaScript Rendering Engine Heap Buffer Overflow Vulnerability
CVE-2021-37973,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2021-30551,Google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability
CVE-2021-37975,Google,Chrome,Google Chrome Use-After-Free Vulnerability
CVE-2020-6418,Google,Chromium V8 Engine,Chromium V8 Type Confusion Vulnerability
CVE-2021-30554,Google,Chrome,Google Chrome WebGL Use-After-Free Vulnerability
CVE-2021-21206,Google,Chromium Blink,Chromium Blink Use-After-Free Vulnerability
CVE-2021-38000,Google,Chromium V8 Engine,Google Chromium V8 Insufficient Input Validation Vulnerability
CVE-2021-38003,Google,Chromium V8 Engine,Google Chromium V8 Incorrect Implementation Vulnerability
CVE-2021-21224,Google,Chromium V8 Engine,Chromium V8 JavaScript Engine Remote Code Execution Vulnerability
CVE-2021-21193,Google,Chromium V8 Engine,Chromium V8 Use-After-Free Vulnerability
CVE-2021-21220,Google,Chromium V8 Engine,Chromium V8 Input Validation Vulnerability
CVE-2021-30563,Google,Chrome,Google Chrome Browser V8 Arbitrary Code Execution
CVE-2014-1812,Microsoft,Windows,Microsoft Windows Group Policy Privilege Escalation
CVE-2021-38647,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Remote Code Execution Vulnerability
CVE-2016-0167,Microsoft,Windows,Microsoft Windows Kernel 'Win32k.sys' Local Privilege Escalation Vulnerability
CVE-2020-0878,Microsoft,Microsoft Edge, Internet Explorer,Microsoft Browser Memory Corruption Vulnerability
CVE-2021-31955,Microsoft,Windows,Microsoft Windows Kernel Information Disclosure Vulnerability
CVE-2021-1647,Microsoft,Microsoft Defender,Microsoft Defender Remote Code Execution Vulnerability
CVE-2021-33739,Microsoft,Microsoft Desktop Window Manager (DWM),Microsoft DWM Core Library Privilege Escalation Vulnerability
CVE-2016-0185,Microsoft,Windows,Microsoft Windows Media Center Remote Code Execution vulnerability
CVE-2020-0683,Microsoft,Windows,Microsoft Windows Installer Privilege Escalation Vulnerability
CVE-2020-17087,Microsoft,Windows,Microsoft Windows Kernel Cryptography Driver Privilege Escalation Vulnerability
CVE-2021-33742,Microsoft,Microsoft MSHTML,Microsoft MSHTML Platform Remote Code Execution Vulnerability
CVE-2021-31199,Microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities
CVE-2021-33771,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2021-31956,Microsoft,Windows,Microsoft Windows NTFS Privilege Escalation Vulnerability
CVE-2021-31201,Microsoft,Microsoft Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerabilities
CVE-2021-31979,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2020-0938,Microsoft,Windows, Windows Adobe Type Manager Library,Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability
CVE-2020-17144,Microsoft,Microsoft Exchange Server,Microsoft Exchange Remote Code Execution Vulnerability
CVE-2020-0986,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability
CVE-2020-1020,Microsoft,Windows, Windows Adobe Type Manager Library,Microsoft Windows Type 1 Font Parsing Remote Code Execution Vulnerability
CVE-2021-38645,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
CVE-2021-34523,Microsoft,Microsoft Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability
CVE-2017-7269,Microsoft,Internet Information Services (IIS),Microsft Windows Server 2003 R2 IIS WEBDAV buffer overflow Remote Code Execution vulnerability (COVID-19-CTI list)
CVE-2021-36948,Microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability
CVE-2021-38649,Microsoft,Microsoft Azure Open Management Infrastructure (OMI),Microsoft Azure Open Management Infrastructure (OMI) Privilege Escalation Vulnerability
